id,title,url,editors,year,in_franzini,in_sahle,franzini_id,tei_declared,xml_downloadable,available,period,language,variance,ride
0001,'Clotel' by William Wells Brown: An Electronic Scholarly Edition,https://web.archive.org/web/20120208114310/http://rotunda.upress.virginia.edu:8080/clotel/,"Ed. by Christopher Mulvey. Charlottesville (VA): The University of Virginia Press, 2006.",2006,no,yes,,,,,,,,
0002,“… gantz unvergleichlich …” - Ernst Samuel Jacob Borchwards Reise ins Potsdam Friedrichs des Großen 1749,http://quellen-perspectivia.net/de/borchward/start,"Bearbeitet von Rashid-S. Pegah und Carsten Dilba. Potsdam: Stiftung Preußische Schlösser / Gärten Berlin-Brandenburg, 2015.",2015,no,yes,,,,,,,,
0003,"""A black diamond among thim American wifes"": Kate Edwards Swayze’s Antislavery Adaptation of George Colman’s Inkle and Yarico",https://www.scholarlyediting.org/2015/editions/intro.swayzedrama.html,"Ed. by Laura L. Mielke and Martha Baldwin. Kansas: University of Kansas, 2015.",2015,no,yes,,,,,,,,
0004,"""En el ojo del huracán"": Cartas de Ultramar a España, 1823 - Edición digital",http://cards-fly.clul.ul.pt/teitok/ultramar/,"Konzeptiontiert von Werner Stangl. Graz: Karl-Franzens-Universität Graz, Institut für Geschichte, 2014-.",2014,no,yes,,,,,,,,
0005,"""Fräulein Else"" multimedial - Arthur Schnitzlers Novelle und ihre Adaptionen (1923-2013)",http://www.else.uni-wuppertal.de/index.html,"Konzept und Leitung Ursula von Keitz und Wolfgang Lukas, medientechnische Betreuung Fabian Etling. Wuppertal: Bergische Universität Wuppertal, 2017.",2017,no,yes,,,,,,,,
0006,"""Lettres des Grisons"": Wissenschaft, Religion und Diplomatie in der Korrespondenz von Johann Jakob Scheuchzer. Eine Edition ausgewählter Schweizer Briefe (1695–1731)",https://republique-des-lettres.ch/edition/scheuchzer-korrespondenz,"Ed. von Simona Boscani Leoni. Bern: République des Lettres, 2019.",2019,no,yes,,,,,,,,
0007,« DigiLivres » : Bernard PALISSY - « Discours Admirables... »,http://web.archive.org/web/20080405110201/http://homepage.mac.com/guyjacqu/palissy.html,Guy Jacquesson [Guy de Pernon]. s.l.: 2002.,2002,no,yes,,,,,,,,
0008,« DigiLivres » : LANCELOT (Chrétien de Troyes: Le Chevalier de la Charette),http://web.archive.org/web/20080415015129/http://homepage.mac.com/guyjacqu/lancelot.html,"""Edition intégrale et synoptique des 8 Mss connus"". Guy Jacquesson [Guy de Pernon]. s.l.: 2002.",2002,no,yes,,,,,,,,
0009,[Das Kundige Bok] Göttinger Statuten im 15. Jahrhundert,https://web.archive.org/web/20180308065412/http://kundigebok.stadtarchiv.goettingen.de/kb2Web/html/,"Hg. von Malte Rehbein. Göttingen: Stadtarchiv Göttingen, 2010.",2010,no,yes,,,,,,,,
0010,[Theodore] Dreiser Web Source,https://web.archive.org/web/20191024001213/http://www.library.upenn.edu/collections/rbm/dreiser/,"Ed. by Thomas P. Riggio et. al. Philadelphia (PA): University of Pennsylvania Library, 2002-2010.",2002,no,yes,,,,,,,,
0011,[Walt Whitman:] Crossing Brookly Ferry,http://msr-archives.rutgers.edu/CBF/,"Created by Jesse Merandy. Mickel Street Review 19/20, 2008.",2008,no,yes,,,,,,,,
0012,"*Hortus sanitatis* : Livre IV, *Les Poissons*",https://www.unicaen.fr/puc/sources/depiscibus/,"Édité par Catherine Jacquemard, Brigitte Gauvin et Marie-Agnès Lucas-Avenel, avec la collaboration de Caroline Février et Françoise Lecocq. Caen: Presses universitaires de Caen, 2013.",2013,no,yes,,,,,,,,
0013,*La nature des dieux* Cicéron,https://www.unicaen.fr/puc/sources/ciceron/accueil.html,"Édité par Clara Auvray-Assayas. Caen: Presses universitaires de Caen, 2019.",2019,no,yes,,,,,,,,
