id,title,url,editors,year,doi,in_franzini,in_sahle,ride,source_kind,source_url,licence,xml_files,tei_files,odd_declared,odd_present,tei_model,pressed,failure_cause,documents,pages,elements,fallbacks,words,note,verified_by,verified_on,engine_version
0029,ABaC:us - Austrian Baroque Corpus,https://acdh.oeaw.ac.at/abacus/,,,,yes,no,no,github,https://github.com/Austrian-Baroque-Corpus/abc-data,"CC BY-NC-SA 4.0 (LICENSE.md in abc-data); the site states free, registration-free use for individual non-commercial research",13,8,unknown,yes,P5,yes,,14,18,113,0,0,,claude-opus-5,2026-08-01,0.2.0-beta.2
0038,Akademieprotokolle,https://akademieprotokolle.acdh.oeaw.ac.at/,,,,yes,no,no,github,https://github.com/acdh-oeaw/akademie-data,,370,200,unknown,no,P5,yes,,200,205,59,0,0,,claude-opus-5,2026-08-01,0.2.0-beta.2
0047,Alexander von Humboldt: Sämtliche Schriften digital,https://humboldt.unibe.ch/text,"Hg. von Oliver Lubrich und Thomas Nehrlich. Bern: Universität Bern, 2021.",2021,,yes,yes,no,github,https://github.com/avh-bern-berlin/avh-texts,CC BY-SA 4.0,0,0,yes,no,,not fetched,,0,0,0,0,0,nothing harvested,claude-opus-5,2026-08-01,0.2.0-beta.2
0068,Armer Heinrich Digital,http://digi.ub.uni-heidelberg.de/ahd/,"Hg. von Gustavo Fernández Riva und Victor Millet, in Zusammenarbeit mit Jakub Šimek, mit Übersetzungen von Dietmar Peschel. Heidelberg: Universitätsbibliothek, 2018; https://doi.org/10.11588/edition.ahd.",2018,10.11588/edition.ahd (edition); 10.11588/DATA/FNKJ2Y (data deposit),yes,yes,no,direct,https://heidata.uni-heidelberg.de/dataset.xhtml?persistentId=doi:10.11588/DATA/FNKJ2Y,"CC BY-SA 4.0 (transcriptions, TEI encoding, editorial content and translations; digital facsimiles follow the holding institutions' terms)",0,0,yes,no,,not fetched,,0,0,0,0,0,nothing harvested,claude-opus-5,2026-08-01,0.2.0-beta.2
0069,Arnold Schönberg: Briefwechsel mit den Verlagen C. F. Peters und C. F. Peters Corporation,https://www.schoenberg-peters.at,,,,yes,no,no,none,,,0,0,unknown,no,,not fetched,,0,0,0,0,0,nothing harvested,claude-opus-5,2026-08-01,0.2.0-beta.2
0070,Arnold Schönberg: Briefwechsel mit den Verlagen Universal-Edition und Dreililien,https://www.schoenberg-ue.at,,,,yes,no,no,github,https://github.com/Schoenberg-UE/Schoenberg-Data,,0,0,yes,no,,not fetched,,0,0,0,0,0,nothing harvested,claude-opus-5,2026-08-01,0.2.0-beta.2
0071,Arthur Schnitzler – Briefwechsel mit Autorinnen und Autoren,https://schnitzler-briefe.acdh.oeaw.ac.at,"Hg. Martin Anton Müller, Gerd Hermann Susen, Laura Untner und Selma Jahnke. Wien: Österreichische Akademie der Wissenschaften, 2020-2029.",2020,"10.5281/zenodo.20309129 (concept DOI, always resolves to the latest version)",yes,yes,no,github,https://github.com/arthur-schnitzler/schnitzler-briefe-data,MIT,0,0,yes,no,,not fetched,,0,0,0,0,0,nothing harvested,claude-opus-5,2026-08-01,0.2.0-beta.2
0072,Arthur Schnitzler – Chronik. Eine digitale Ressource zu den einzelnen Tagen seines Lebens,https://schnitzler-chronik.acdh.oeaw.ac.at/,,,10.5281/zenodo.20309151 (concept); 10.5281/zenodo.20309152 (this version),yes,no,no,github,https://github.com/arthur-schnitzler/schnitzler-chronik-data,CC BY-SA 4.0 (declared in CITATION.cff and .zenodo.json),0,0,unknown,no,,not fetched,,0,0,0,0,0,nothing harvested,claude-opus-5,2026-08-01,0.2.0-beta.2
0075,Arthur Schnitzler: Lektüren. Digitale Edition der Leseliste von Arthur Schnitzler,https://schnitzler-lektueren.acdh.oeaw.ac.at/,"Hg. von Achim Aurnhammer. Wien: Österreichische Akademie der Wissenschaften, Freiburg: Arthur Schnitzler Archiv, 2022.",2022,10.5281/zenodo.20309149 (concept); 10.5281/zenodo.20309150 (this version),yes,yes,no,github,https://github.com/arthur-schnitzler/schnitzler-lektueren,"declared inconsistently: CITATION.cff and .zenodo.json say CC BY-SA 4.0, but the repo's LICENSE file is CC BY 4.0",0,0,unknown,no,,not fetched,,0,0,0,0,0,nothing harvested,claude-opus-5,2026-08-01,0.2.0-beta.2
0077,Arthur Schnitzler: Tagebuch. Digitale Edition,https://schnitzler-tagebuch.acdh.oeaw.ac.at/,"Aufbereitung der digitalen Version von Peter Michael Braunwarth verantwortet. Wien: Österreichische Akademie der Wissenschaften, 2019.",2019,,yes,yes,no,github,https://github.com/arthur-schnitzler/schnitzler-tagebuch-data,CC BY-SA 4.0 (GitHub licence metadata and CITATION.cff),0,0,unknown,no,,not fetched,,0,0,0,0,0,nothing harvested,claude-opus-5,2026-08-01,0.2.0-beta.2
0081,Auden Musulin Papers: A Digital Edition of W. H. Auden's Letters to Stella Musulin,https://amp.acdh.oeaw.ac.at,"Principal Investigator: Sandra Mayer. Wien: Österreichische Akademie der Wissenschaften, 2021.",2021,10.5281/zenodo.13149400 (data); 10.5281/zenodo.13149595 (app),yes,yes,no,github,https://github.com/Auden-Musulin-Papers/amp-data,CC BY 4.0 (amp-data); the web app is MIT,0,0,no,no,,not fetched,,0,0,0,0,0,nothing harvested,claude-opus-5,2026-08-01,0.2.0-beta.2
