id,edition_name,source_kind,source_url,doi,licence,odd_declared,how_found,site_alive,note,discovered_by,discovered_on
0029,ABaC:us - Austrian Baroque Corpus,github,https://github.com/Austrian-Baroque-Corpus/abc-data,,"CC BY-NC-SA 4.0 (LICENSE.md in abc-data); the site states free, registration-free use for individual non-commercial research",unknown,"The assigned URL redirects to abacus.acdh.oeaw.ac.at; footer links the GitHub org, and the site's ""Zitieren/Kontakt"" page names https://github.com/Austrian-Baroque-Corpus/abc-data as the TEI/XML data repository. Repo README: ""This repository contains the TEI/XML data for the ABaC:us project.""",redirect,"https://acdh.oeaw.ac.at/abacus/ 301s to https://abacus.acdh.oeaw.ac.at/ (200). Edition itself has no DOI; the only DOI on the citation page is for a 2016 ZfdG article (10.17175/2016_005). Sibling repos in the same org: abc-app (MIT), abc-register. Could not confirm a schema/ODD folder: GitHub API rate limit hit and the web tree view is JS-only.",claude-opus-5,2026-08-01
0038,Akademieprotokolle,github,https://github.com/acdh-oeaw/akademie-data,,,unknown,"Site footer and about.html link only the app repo acdh-oeaw/akademie-static; the data repo was found by GitHub search restricted to org:acdh-oeaw (""akademie-data — data repo for Akademieprotokolle""), README confirms it, contains data/ and a dump/ of the legacy app.",yes,"Site banner says it is currently being technically reworked (""Die Website wird derzeit technisch überarbeitet""). No LICENSE file in akademie-data and no licence statement on the site, so reuse terms are undeclared. About page confirms transcriptions were converted to TEI XML. Data repo last updated 2026-07-31, so actively maintained.",claude-opus-5,2026-08-01
0047,Alexander von Humboldt: Sämtliche Schriften digital,github,https://github.com/avh-bern-berlin/avh-texts,,CC BY-SA 4.0,yes,"Not on the /text landing page; found on the project documentation page https://humboldt.unibe.ch/erschliessung/dokumentation, which links the repo. Repo README confirms: TEI P5 XML, project site humboldt.unibe.ch, licence CC BY-SA 4.0.",yes,"Watch the contradiction: the reading interface carries a boilerplate copyright notice forbidding download and reproduction, while the documentation page and the GitHub repo release the texts under CC BY-SA 4.0. Encoding follows TEI P5 as applied by the Deutsches Textarchiv (DTABf customization) plus a project character inventory (/meta/characters, /meta/combinings); no standalone ODD file is published. The site also offers a full-corpus download button and per-text XML/TXT export from the viewer toolbar.",claude-opus-5,2026-08-01
0068,Armer Heinrich Digital,direct,https://heidata.uni-heidelberg.de/dataset.xhtml?persistentId=doi:10.11588/DATA/FNKJ2Y,10.11588/edition.ahd (edition); 10.11588/DATA/FNKJ2Y (data deposit),"CC BY-SA 4.0 (transcriptions, TEI encoding, editorial content and translations; digital facsimiles follow the holding institutions' terms)",yes,"The Nutzungsbedingungen page states the TEI XML transcription and edition data are on heiDATA and links doi.org/10.11588/data/FNKJ2Y; the DOI resolves to the heiDATA (Dataverse) dataset. Its file listing (via the Dataverse API) holds a single file, DAH_Edition_TEI.xml, text/xml, about 2.0 MB.",yes,"Edition version 2.0, Heidelberg 2026. The whole edition is one XML file, not a per-witness corpus. Encoding is governed by the project TEI-Handbuch (https://digi.ub.uni-heidelberg.de/hvad/materialien/teihandbuch.html), which states it depends on the heiEditions validation schema and documentation and the heiEDITIONS Concepts ontology, so a customization exists but is not exposed as an ODD file. Caution: digi.ub.uni-heidelberg.de/diglit/* is behind an Anubis anti-bot gate; the /ahd/ static pages are fetchable normally.",claude-opus-5,2026-08-01
0069,Arnold Schönberg: Briefwechsel mit den Verlagen C. F. Peters und C. F. Peters Corporation,none,,,,unknown,"Site root serves a meta-refresh to /cfp/index.html but is behind a Cloudflare managed challenge (403 to any non-browser client), so the in-site pages could not be inspected. Searched GitHub for orgs/repos (Schoenberg-Peters, Schoenberg-CFP, schoenberg+peters) and Zenodo for the edition title: nothing.",yes,"No public source repository or deposit found for this edition. Its sibling project states the Peters edition follows the same XML structure and guidelines as the Universal-Edition/Dreililien edition (www.schoenberg-ue.at/editionsrichtlinien), whose data and ODDs are public at https://github.com/Schoenberg-UE/Schoenberg-Data, but the Peters letters do not appear in that repo (its README scopes it explicitly to the UE/Dreililien edition). Any download offered inside the web app could not be verified because of the bot challenge; a human browser would be needed.",claude-opus-5,2026-08-01
0070,Arnold Schönberg: Briefwechsel mit den Verlagen Universal-Edition und Dreililien,github,https://github.com/Schoenberg-UE/Schoenberg-Data,,,yes,"Site itself unreachable to automated clients (Cloudflare managed challenge, 403). Found via GitHub search for ""Schönberg"": the org Schoenberg-UE holds Schoenberg-Data, whose README opens ""Das Repo Schoenberg-Data bildet die Datenveröffentlichung der Edition Arnold Schönberg: Briefwechsel mit den Verlagen Universal-Edition und Dreililien (https://www.schoenberg-ue.at)"".",yes,"Best-documented repo in this batch. data/letters and data/documents hold the TEI letters and documents by year, data/indices the registers, plus Versionen.xml with release history. schema/ contains ediarum.asue.odd (letters and documents), ediarum.asue.register.odd, ediarum.asue.api.odd (the form offered for download in the web app, with keys resolved to absolute URLs), datatypes.odd.xml and mei-source.xml, generated by ODD chaining from ediarum.BASE.data-model and ediarum.REGISTER.data-model, with compiled ODD and RelaxNG in schema/compiledODD and schema/out. guidelines/ holds the Editionsrichtlinien in XML and HTML. No LICENSE file and no licence statement in the README, so reuse terms are undeclared. Web app is separate: https://github.com/Schoenberg-UE/Schoenberg-WebApp (eXist-db). Hybrid edition, the XML also feeds the print volume (print-workflow/).",claude-opus-5,2026-08-01
0071,Arthur Schnitzler – Briefwechsel mit Autorinnen und Autoren,github,https://github.com/arthur-schnitzler/schnitzler-briefe-data,"10.5281/zenodo.20309129 (concept DOI, always resolves to the latest version)",MIT,yes,"Linked directly from the edition site (""Offene Daten auf GitHub""); CITATION.cff and .zenodo.json in the repo confirm title, licence and concept DOI.",yes,"CITATION.cff notes the facsimiles are excluded for legal reasons; only transcriptions and indices are in the repo. Encoding documentation at https://schnitzler-briefe.acdh.oeaw.ac.at/elemente.html states that data/meta holds schnitzler-briefe-schema.xsd and schnitzler-briefe-schematron.sch, so a customization is documented but as XSD plus Schematron, not as an ODD. Also long-term archived in ARCHE (hdl.handle.net/21.11115/0000-000E-7538-0). Funding for 2025-2029: FWF 10.55776/PAT1998524.",claude-opus-5,2026-08-01
0072,Arthur Schnitzler – Chronik. Eine digitale Ressource zu den einzelnen Tagen seines Lebens,github,https://github.com/arthur-schnitzler/schnitzler-chronik-data,10.5281/zenodo.20309151 (concept); 10.5281/zenodo.20309152 (this version),CC BY-SA 4.0 (declared in CITATION.cff and .zenodo.json),unknown,"Linked from the edition site alongside the static-site repo; .zenodo.json and CITATION.cff in the repo confirm scope and licence, and the Zenodo record was found by title search.",yes,"Strictly a TEI listEvent aggregation, one entry per day of Schnitzler's adult life, pulling together events, readings, letters, diary entries and cultural appointments, rather than a text edition, which matters if the corpus counts edited documents. The site states each day is also retrievable as XML or JSON by appending the date (example given: 1927-11-07.xml); I did not verify an individual day URL. No LICENSE file in the repo despite the CITATION.cff declaration. Repo is large (about 1.1 GB reported size).",claude-opus-5,2026-08-01
0075,Arthur Schnitzler: Lektüren. Digitale Edition der Leseliste von Arthur Schnitzler,github,https://github.com/arthur-schnitzler/schnitzler-lektueren,10.5281/zenodo.20309149 (concept); 10.5281/zenodo.20309150 (this version),"declared inconsistently: CITATION.cff and .zenodo.json say CC BY-SA 4.0, but the repo's LICENSE file is CC BY 4.0",unknown,"Linked from the edition site; CITATION.cff and .zenodo.json in the repo confirm title and licence, Zenodo record found by title search.",yes,"Single repo holding both TEI data (data/) and the generated static site (html/), unlike the sibling projects which split data and app. Licence discrepancy above is worth flagging to whoever reuses the data. A PDF of the 2013 print edition is also served from the site.",claude-opus-5,2026-08-01
0077,Arthur Schnitzler: Tagebuch. Digitale Edition,github,https://github.com/arthur-schnitzler/schnitzler-tagebuch-data,,CC BY-SA 4.0 (GitHub licence metadata and CITATION.cff),unknown,"Site links it under ""Zum Projekt"" as ""Offene Daten auf gitHub""; repo default branch is master and carries CITATION.cff and .zenodo.json confirming ""Arthur Schnitzler: Tagebuch 1879-1931. Digitale Edition – Quelldaten"".",yes,"No current DOI stated in CITATION.cff. An older Zenodo deposit exists from when the repo lived under acdh-oeaw: 10.5281/zenodo.3527718 (concept) / 10.5281/zenodo.3527719 (v1.0, licence ""other-open""); it predates the move to the arthur-schnitzler org and should not be cited as the current edition DOI. Note the default branch is master, not main. Data is a retro-digitization of the 1981-2000 ÖAW print edition.",claude-opus-5,2026-08-01
