id,Edition name,URL,Historical Period,Language,Writing support,Account of textual variance,Value of witnesses,Text-Image Linking,Images,Indices,Linked Open Data,API,Source Text Translation,XML-TEI Transcription,XML(-TEI) available to download,RIDE review,Sahle Catalog
2,The Thomas Gray Archive,http://www.thomasgray.org/,Early Modern,ENG; LAT; GRE,Manuscript,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes
4,Saint Patrick's Confessio,http://www.confessio.ie/#,Antiquity,LAT,Manuscript; Print,partly,partly,no,yes,no,no,no,ENG; GER; GLA; ITA; POR,yes,yes,no,yes
9,"Bérardier de Bataut, Essai sur le récit, Entretiens sur la manière de raconter",http://www.berardier.org/,Early Modern,FRE,Print,no,no,no,no,no,no,no,no,yes,yes,no,yes
10,Codex Sinaiticus,http://codexsinaiticus.org/en/,Antiquity,GRC,Codex,not provided,yes,yes,yes,no,no,no,partly,yes,yes,http://ride.i-d-e.de/issues/issue-1/codex-sinaiticus/,yes
14,Becerro Galicano of San Millán de la Cogolla,http://www.ehu.es/galicano/?l=en,Middle Ages,LAT,Codex; Cartulary,not provided,yes,no,yes,yes,no,no,no,yes,yes,http://ride.i-d-e.de/issues/issue-2/becerro-galicano/,yes
24,Inscriptions of the Northern Black Sea (IOSPE),http://iospe.kcl.ac.uk/corpus/index.html,Antiquity,GRC; LAT,Tablets; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,not provided,yes,no,yes,yes,no,no,ENG,yes,yes,no,yes
31,Jonathan Swift Archive,http://jonathanswiftarchive.org.uk/index.html,Early Modern,ENG,Early printed edition,partly,partly,no,no,yes,no,no,no,yes,yes,no,no
32,The St Gall Priscian Glosses,http://www.stgallpriscian.ie,Middle Ages,LAT,Manuscript,not provided,yes,no,yes,no,no,no,not provided,partly,yes,no,yes
33,Nietzsche Source,http://www.nietzschesource.org/,Long Nineteenth Century; Modern,GER,Manuscript; Book; Letter,yes,yes,no,no,no,no,no,not provided,yes,yes,http://ride.i-d-e.de/issues/issue-1/nietzschesource/,yes
41,Corpus of the Inscriptions of Campā (CIC),http://isaw.nyu.edu/publications/inscriptions/campa/,Middle Ages,SAN; VIE,Inscription,not provided,yes,no,yes,yes,no,no,not provided,yes,yes,no,no
44,De Trein der Traagheid,http://edities.kantl.be/daisne/,Modern,DUT,Printed book,yes,yes,no,partly,no,no,no,no,yes,yes,no,yes
46,Folger Shakespeare Editions,http://www.folgerdigitaltexts.org/,Middle Ages,ENG,Manuscript,not provided,yes,no,no,yes,no,yes,no,yes,yes,no,no
50,Henrik Ibsens Skrifter,http://www.ibsen.uio.no/forside.xhtml,Long Nineteenth Century,NOR,Manuscript; Letter; Book,not provided,yes,no,no,yes,no,no,not provided,yes,yes,no,yes
53,Queste del Saint Graal,http://txm.bfm-corpus.org/?command=documentation&path=/GRAAL,Middle Ages,FRM,Manuscript,yes,yes,no,yes,yes,no,no,FRE,yes,yes,no,yes
59,The Proceedings of the Old Bailey,http://www.oldbaileyonline.org/,Early Modern; Long Nineteenth Century,ENG,Manuscript,not provided,not provided,no,yes,no,no,yes,not provided,partly,yes,no,yes
62,William Godwin's Diary,http://godwindiary.bodleian.ox.ac.uk/index2.html,Long Nineteenth Century,ENG,Manuscript,not provided,yes,no,yes,yes,no,no,not provided,yes,yes,http://ride.i-d-e.de/issues/issue-3/godwin/,yes
69,The Journals of the Lewis and Clark Expedition,http://lewisandclarkjournals.unl.edu,Long Nineteenth Century,ENG,Journal,not provided,not provided,no,yes,yes,no,no,not provided,yes,yes,no,yes
89,Carl-Maria-von-Weber-Gesamtausgabe,http://www.weber-gesamtausgabe.de/en/Index,Long Nineteenth Century,GER,Manuscript; Letter; Diary; Draft; Journal,yes,yes,no,yes,yes,no,yes,not provided,yes,yes,no,yes
92,Inscriptions of Aphrodisias Project,http://insaph.kcl.ac.uk/index.html,Antiquity,GRC,Tablet; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,partly,yes,no,yes,yes,yes,no,no,yes,yes,no,yes
108,The Walt Whitman Archive,http://www.whitmanarchive.org/,Long Nineteenth Century,ENG,Manuscript,not provided,not provided,no,yes,no,no,no,not provided,yes,yes,no,yes
126,The Newton Project,http://www.newtonproject.sussex.ac.uk/prism.php?id=1,Early Modern,LAT,Manuscript,yes,yes,no,no,yes,no,no,no,yes,yes,no,no
191,Virginie Loveling’s Diary,http://edities.kantl.be/loveling/,Modern,DUT,Manuscript,yes,yes,no,no,no,no,no,no,yes,yes,no,yes
192,William Golder Electronic Edition,http://nzetc.victoria.ac.nz/tm/scholarly/tei-corpus-golder.html,Long Nineteenth Century,ENG,Manuscript,not provided,not provided,no,no,yes,no,no,no,yes,yes,no,no
207,Les Cours d’Antoine Desgodets,http://www.desgodets.net,Early Modern,FRE,Manuscript,yes,partly,yes,yes,yes,no,no,no,yes,yes,no,no
208,Digitale Edition und Kommentierung der Tagebücher des Fürsten Christian II. von Anhalt-Bernburg,http://diglib.hab.de/wdb.php?dir=edoc/ed000228&lang=en,Early Modern,GER,Manuscript; Notebook,yes,yes,no,yes,no,no,no,no,yes,yes,no,yes
216,Faust Edition,http://beta.faustedition.net/,Early Modern; Long Nineteenth Century,GER,Manuscript,yes,yes,no,yes,no,no,no,no,yes,yes,no,yes
217,Theodor Fontane: Notizbücher,https://fontane-nb.dariah.eu/index.html,Long Nineteenth Century,GER,Notebook,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes
218,Johann Christian Senckenberg: Digital Edition of the Diaries,http://senckenberg.ub.uni-frankfurt.de/s/startpage,Early Modern,GER; LAT,Diary,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no
225,Schopenhauer’s Library: Annotations and marks in his Spanish books,http://www.schopenhauer.uni.wroc.pl/,Long Nineteenth Century,SPA,Book,no,no,no,yes,no,no,no,no,yes,yes,no,no
227,The Fleischmann Diaries,http://fleischmanndiaries.ucc.ie/,Modern,ENG,Diary,yes,yes,no,yes,yes,no,no,no,yes,yes,http://ride.i-d-e.de/issues/issue-2/fleischmann-diaries/,yes
228,Deutsches Textarchiv (DTA),http://www.deutschestextarchiv.de/,Long Nineteenth Century,GER,Book,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no
229,Project Tarsian: First Corinthians in Vaticanus Arabicus 13,http://tarsian.vital-it.ch/,Middle Ages,ARA,Manuscript,yes,yes,no,yes,no,no,no,FRE,yes,yes,no,no
231,Bibliotheca Iuris Antiqui (BIA),http://www.ittig.cnr.it,Antiquity,LAT; GRC; ITA; NDS; FRE; SPA; ENG,Print edition,no,partly,no,no,yes,no,yes,no,yes,yes,no,no
