register,entry,lemma,reading,witnesses,type,isLemma
critical,Ad1:0.1.0.6.0.0.22.0,,was,,lit,false
critical,Ad1:0.1.0.6.0.0.22.0,,was,,orig,false
critical,Ad1:0.1.0.6.0.0.22.0,,,,mod,false
critical,Ad1:0.1.0.16.0.0.46.0,,make,,lit,false
critical,Ad1:0.1.0.16.0.0.46.0,,make,,orig,false
critical,Ad1:0.1.0.16.0.0.46.0,,,,mod,false
critical,Ad1:0.1.0.18.0.0.66.0,,th,,lit,false
critical,Ad1:0.1.0.18.0.0.66.0,,th,,orig,false
critical,Ad1:0.1.0.18.0.0.66.0,,,,mod,false
critical,Ad1:0.1.0.19.0.0.62.0,,at,,lit,false
critical,Ad1:0.1.0.19.0.0.62.0,,at,,orig,false
critical,Ad1:0.1.0.19.0.0.62.0,,,,mod,false
critical,Ad1:0.1.0.19.0.0.66.0,,ch,,lit,false
critical,Ad1:0.1.0.19.0.0.66.0,,ch,,orig,false
critical,Ad1:0.1.0.19.0.0.66.0,,,,mod,false
critical,Ad1:0.1.0.20.0.0.64.0,,noht,,lit,false
critical,Ad1:0.1.0.20.0.0.64.0,,noht,,orig,false
critical,Ad1:0.1.0.20.0.0.64.0,,,,mod,false
critical,Ad1:0.1.0.21.0.0.46.0,,w,,lit,false
critical,Ad1:0.1.0.21.0.0.46.0,,,,orig,false
critical,Ad1:0.1.0.21.0.0.46.0,,,,mod,false
critical,Ad1:0.1.0.24.0.0.52.0,,he,,lit,false
critical,Ad1:0.1.0.24.0.0.52.0,,,,orig,false
critical,Ad1:0.1.0.24.0.0.52.0,,he,,mod,false
critical,Ad3:0.1.0.2.0.0.54.0,,of,,lit,false
critical,Ad3:0.1.0.2.0.0.54.0,,,,orig,false
critical,Ad3:0.1.0.2.0.0.54.0,,of,,mod,false
critical,Ad3:0.1.0.6.0.0.10.0,,a,,lit,false
critical,Ad3:0.1.0.6.0.0.10.0,,,,orig,false
critical,Ad3:0.1.0.6.0.0.10.0,,a,,mod,false
critical,Ad3:0.1.0.11.0.0.6.0,,of,,lit,false
critical,Ad3:0.1.0.11.0.0.6.0,,,,orig,false
critical,Ad3:0.1.0.11.0.0.6.0,,of,,mod,false
critical,Bo1:0.1.0.4.0.0.54.0,,a,,lit,false
critical,Bo1:0.1.0.4.0.0.54.0,,,,orig,false
critical,Bo1:0.1.0.4.0.0.54.0,,a,,mod,false
critical,Bo1:0.1.0.8.0.0.2.0,,song sonne,,lit,false
critical,Bo1:0.1.0.8.0.0.2.0,,song,,orig,false
critical,Bo1:0.1.0.8.0.0.2.0,,sonne,,mod,false
critical,Bo1:0.1.0.11.0.0.60.0,,alle,,lit,false
critical,Bo1:0.1.0.11.0.0.60.0,,alle,,orig,false
critical,Bo1:0.1.0.11.0.0.60.0,,,,mod,false
critical,Bo1:0.1.0.20.0.0.64.0,,hi,,lit,false
critical,Bo1:0.1.0.20.0.0.64.0,,hi,,orig,false
critical,Bo1:0.1.0.20.0.0.64.0,,,,mod,false
critical,Bo2:0.1.0.5.0.0.27.0,,maryage,,lit,false
critical,Bo2:0.1.0.5.0.0.27.0,,,,orig,false
critical,Bo2:0.1.0.5.0.0.27.0,,maryage,,c2,false
critical,Bo2:0.1.0.6.0.0.36.0,,wellpe,,lit,false
critical,Bo2:0.1.0.6.0.0.36.0,,welpe,,orig,false
critical,Bo2:0.1.0.6.0.0.36.0,,wellpe,,mod,false
critical,Bo2:0.1.0.8.0.0.3.0,,bene inffecte,,lit,false
critical,Bo2:0.1.0.8.0.0.3.0,,ben fecte,,orig,false
critical,Bo2:0.1.0.8.0.0.3.0,,bene inffecte,,mod,false
critical,Bo2:0.1.0.10.0.0.45.0,,of,,lit,false
critical,Bo2:0.1.0.10.0.0.45.0,,,,orig,false
critical,Bo2:0.1.0.10.0.0.45.0,,of,,mod,false
critical,Bo2:0.1.0.11.0.0.11.0,,īn,,lit,false
critical,Bo2:0.1.0.11.0.0.11.0,,,,orig,false
critical,Bo2:0.1.0.11.0.0.11.0,,īn,,mod,false
critical,Bo2:0.1.0.11.0.0.37.0,,moiste,,lit,false
critical,Bo2:0.1.0.11.0.0.37.0,,moste,,orig,false
critical,Bo2:0.1.0.11.0.0.37.0,,moiste,,mod,false
critical,Bo2:0.1.0.13.0.0.61.0,,was,,lit,false
critical,Bo2:0.1.0.13.0.0.61.0,,,,orig,false
critical,Bo2:0.1.0.13.0.0.61.0,,was,,mod,false
critical,Bo2:0.1.0.19.0.0.3.0,,hertely,,lit,false
critical,Bo2:0.1.0.19.0.0.3.0,,hetely,,orig,false
critical,Bo2:0.1.0.19.0.0.3.0,,hertely,,mod,false
critical,Ch:0.1.0.1.0.0.14.0,,th ey c,,lit,false
critical,Ch:0.1.0.1.0.0.14.0,,thenketh,,orig,false
critical,Ch:0.1.0.1.0.0.14.0,,thyncketh,,mod,false
critical,Ch:0.1.0.4.0.0.14.0,,h eardely,,lit,false
critical,Ch:0.1.0.4.0.0.14.0,,herdely,,orig,false
critical,Ch:0.1.0.4.0.0.14.0,,hardely,,mod,false
critical,Ch:0.1.0.5.0.0.60.0,,women̄,,lit,false
critical,Ch:0.1.0.5.0.0.60.0,,men̄,,orig,false
critical,Ch:0.1.0.5.0.0.60.0,,women̄,,mod,false
critical,Ch:0.1.0.8.0.0.12.0,,sentence,,lit,false
critical,Ch:0.1.0.8.0.0.12.0,,sentence,,orig,false
critical,Ch:0.1.0.8.0.0.12.0,,,,mod,false
critical,Ch:0.1.0.16.0.0.44.0,,and,,lit,false
critical,Ch:0.1.0.16.0.0.44.0,,and,,orig,false
critical,Ch:0.1.0.16.0.0.44.0,,,,mod,false
critical,Ch:0.1.0.21.0.0.48.0,,by the wey ys spent,,lit,false
critical,Ch:0.1.0.21.0.0.48.0,,,,orig,false
critical,Ch:0.1.0.21.0.0.48.0,,by the wey ys spent,,mod,false
critical,Cn:0.1.0.2.0.0.40.0,,nowhere so vertuous,,lit,false
critical,Cn:0.1.0.2.0.0.40.0,,,,orig,false
critical,Cn:0.1.0.2.0.0.40.0,,nowhere so vertuous,,mod,false
critical,Cn:0.1.0.2.0.0.60.0,,like,,lit,false
critical,Cn:0.1.0.2.0.0.60.0,,,,orig,false
critical,Cn:0.1.0.2.0.0.60.0,,,,mod,false
critical,Cn:0.1.0.3.0.0.60.0,,he it,,lit,false
critical,Cn:0.1.0.3.0.0.60.0,,,,orig,false
critical,Cn:0.1.0.3.0.0.60.0,,he it,,mod,false
critical,Cn:0.1.0.5.0.0.4.0,,many,,lit,false
critical,Cn:0.1.0.5.0.0.4.0,,,,orig,false
critical,Cn:0.1.0.5.0.0.4.0,,many,,mod,false
critical,Cn:0.1.0.7.0.0.68.0,,nedith,,lit,false
critical,Cn:0.1.0.7.0.0.68.0,,nedith,,orig,false
critical,Cn:0.1.0.7.0.0.68.0,,,,mod,false
critical,Cn:0.1.0.8.0.0.24.0,,d,,lit,false
critical,Cn:0.1.0.8.0.0.24.0,,d,,orig,false
critical,Cn:0.1.0.8.0.0.24.0,,,,mod,false
critical,Cn:0.1.0.12.0.0.32.0,,clo,,lit,false
critical,Cn:0.1.0.12.0.0.32.0,,clo,,orig,false
critical,Cn:0.1.0.12.0.0.32.0,,,,mod,false
critical,Dd:0.1.0.5.0.0.32.0,,b Person̄ / of a a pore toun,,lit,false
critical,Dd:0.1.0.5.0.0.32.0,,Person̄ / of a pore toun,,orig,false
critical,Dd:0.1.0.5.0.0.32.0,,pore Person̄ / of a  toun,,mod,false
critical,Dl:0.1.0.0.0.2.88.0,,of,,lit,false
critical,Dl:0.1.0.0.0.2.88.0,,,,orig,false
critical,Dl:0.1.0.0.0.2.88.0,,of,,mod,false
critical,Dl:0.1.0.0.0.2.107.0,,so,,lit,false
critical,Dl:0.1.0.0.0.2.107.0,,,,orig,false
critical,Dl:0.1.0.0.0.2.107.0,,so,,mod,false
critical,Dl:0.1.0.0.0.2.123.0,,witteʳly,,lit,false
critical,Dl:0.1.0.0.0.2.123.0,,wittely,,orig,false
critical,Dl:0.1.0.0.0.2.123.0,,witterly,,mod,false
critical,Dl:0.1.0.0.0.2.159.0,,hee,,lit,false
critical,Dl:0.1.0.0.0.2.159.0,,,,orig,false
critical,Dl:0.1.0.0.0.2.159.0,,hee,,mod,false
critical,Dl:0.1.0.1.0.0.111.0,,nowher,,lit,false
critical,Dl:0.1.0.1.0.0.111.0,,nwher,,orig,false
critical,Dl:0.1.0.1.0.0.111.0,,nowher,,mod,false
critical,Dl:0.1.0.1.0.0.171.0,,he,,lit,false
critical,Dl:0.1.0.1.0.0.171.0,,,,orig,false
critical,Dl:0.1.0.1.0.0.171.0,,he,,mod,false
critical,Dl:0.1.0.4.0.0.46.0,,of,,lit,false
critical,Dl:0.1.0.4.0.0.46.0,,,,orig,false
critical,Dl:0.1.0.4.0.0.46.0,,of,,mod,false
critical,Dl:0.1.0.5.0.0.46.0,,hee,,lit,false
critical,Dl:0.1.0.5.0.0.46.0,,,,orig,false
critical,Dl:0.1.0.5.0.0.46.0,,hee,,mod,false
critical,Dl:0.1.0.5.0.0.90.0,,syngge,,lit,false
critical,Dl:0.1.0.5.0.0.90.0,,,,orig,false
critical,Dl:0.1.0.5.0.0.90.0,,syngge,,mod,false
critical,Ds1:0.1.0.1.0.0.76.1,,t,,lit,false
critical,Ds1:0.1.0.1.0.0.76.1,,t,,orig,false
critical,Ds1:0.1.0.1.0.0.76.1,,,,mod,false
critical,Ds1:0.1.0.5.0.0.62.0,,neckes,,lit,false
critical,Ds1:0.1.0.5.0.0.62.0,,neckes,,orig,false
critical,Ds1:0.1.0.5.0.0.62.0,,neck,,mod,false
critical,Ds1:0.1.0.10.0.0.40.0,,Aıııizen,,lit,false
critical,Ds1:0.1.0.10.0.0.40.0,,Aıııizen,,orig,false
critical,Ds1:0.1.0.10.0.0.40.0,,Auizen,,mod,false
critical,Ds1:0.1.0.12.0.0.60.0,,nowher,,lit,false
critical,Ds1:0.1.0.12.0.0.60.0,,nowher,,orig,false
critical,Ds1:0.1.0.12.0.0.60.0,,owher,,mod,false
critical,El:0.1.0.3.0.0.54.0,,þe,,lit,false
critical,El:0.1.0.3.0.0.54.0,,,,orig,false
critical,El:0.1.0.3.0.0.54.0,,þe,,mod,false
critical,En1:0.1.0.4.0.0.22.0,,Chapell,,lit,false
critical,En1:0.1.0.4.0.0.22.0,,Cappell,,orig,false
critical,En1:0.1.0.4.0.0.22.0,,Chapell,,mod,false
critical,En1:0.1.0.14.0.0.62.0,,coude,,lit,false
critical,En1:0.1.0.14.0.0.62.0,,,,orig,false
critical,En1:0.1.0.14.0.0.62.0,,coude,,mod,false
critical,En1:0.1.0.15.0.0.64.0,,ʳ,,lit,false
critical,En1:0.1.0.15.0.0.64.0,,,,orig,false
critical,En1:0.1.0.15.0.0.64.0,,r,,mod,false
critical,En3:0.1.0.6.0.0.30.0,,As,,lit,false
critical,En3:0.1.0.6.0.0.30.0,,,,orig,false
critical,En3:0.1.0.6.0.0.30.0,,As,,mod,false
critical,En3:0.1.0.7.0.0.4.0,,ta verys,,lit,false
critical,En3:0.1.0.7.0.0.4.0,,verys,,orig,false
critical,En3:0.1.0.7.0.0.4.0,,taverys,,mod,false
critical,En3:0.1.0.11.0.0.16.2,,galanty,,lit,false
critical,En3:0.1.0.11.0.0.16.2,,galanty,,orig,false
critical,En3:0.1.0.11.0.0.16.2,,,,mod,false
critical,En3:0.1.0.12.0.0.14.0,,nt,,lit,false
critical,En3:0.1.0.12.0.0.14.0,,pacie,,orig,false
critical,En3:0.1.0.12.0.0.14.0,,pacient,,mod,false
critical,En3:0.1.0.18.0.0.22.0,,northfold,,lit,false
critical,En3:0.1.0.18.0.0.22.0,,norfold,,orig,false
critical,En3:0.1.0.18.0.0.22.0,,northfold,,mod,false
critical,En3:0.1.0.22.0.0.10.0,,s,,lit,false
critical,En3:0.1.0.22.0.0.10.0,,s,,orig,false
critical,En3:0.1.0.22.0.0.10.0,,,,mod,false
critical,En3:0.1.0.23.0.0.38.0,,it,,lit,false
critical,En3:0.1.0.23.0.0.38.0,,,,orig,false
critical,En3:0.1.0.23.0.0.38.0,,it,,mod,false
critical,Fi:0.1.0.12.0.0.37.0,,r,,lit,false
critical,Fi:0.1.0.12.0.0.37.0,,,,orig,false
critical,Fi:0.1.0.12.0.0.37.0,,r,,mod,false
critical,Fi:0.1.0.12.0.0.61.0,,a,,lit,false
critical,Fi:0.1.0.12.0.0.61.0,,,,orig,false
critical,Fi:0.1.0.12.0.0.61.0,,a,,mod,false
critical,Fi:0.1.0.18.0.0.47.0,,a,,lit,false
critical,Fi:0.1.0.18.0.0.47.0,,a,,orig,false
critical,Fi:0.1.0.18.0.0.47.0,,a,,mod,false
critical,Gg:0.1.0.0.0.2.3.0,,conchusyoun condition,,lit,false
critical,Gg:0.1.0.0.0.2.3.0,,conchusyoun,,orig,false
critical,Gg:0.1.0.0.0.2.3.0,,condition,,mod,false
critical,Gg:0.1.0.2.0.0.10.0,,on on,,lit,false
critical,Gg:0.1.0.2.0.0.10.0,,on on,,orig,false
critical,Gg:0.1.0.2.0.0.10.0,,on,,mod,false
critical,Gg:0.1.0.2.0.0.12.2,,schʳap,,lit,false
critical,Gg:0.1.0.2.0.0.12.2,,schap,,orig,false
critical,Gg:0.1.0.2.0.0.12.2,,schrap,,mod,false
critical,Gg:0.1.0.2.0.0.34.0,,scholescole,,lit,false
critical,Gg:0.1.0.2.0.0.34.0,,schole,,orig,false
critical,Gg:0.1.0.2.0.0.34.0,,scole,,mod,false
critical,Gg:0.1.0.4.0.0.72.2,,īn,,lit,false
critical,Gg:0.1.0.4.0.0.72.2,,,,orig,false
critical,Gg:0.1.0.4.0.0.72.2,,īn,,mod,false
critical,Gg:0.1.0.5.0.0.2.0,,wᵒrthi,,lit,false
critical,Gg:0.1.0.5.0.0.2.0,,wrthi,,orig,false
critical,Gg:0.1.0.5.0.0.2.0,,worthi,,mod,false
critical,Gg:0.1.0.5.0.0.20.0,,Iˢ,,lit,false
critical,Gg:0.1.0.5.0.0.20.0,,I,,orig,false
critical,Gg:0.1.0.5.0.0.20.0,,Is,,mod,false
critical,Gg:0.1.0.5.0.0.72.0,,N,,lit,false
critical,Gg:0.1.0.5.0.0.72.0,,H,,orig,false
critical,Gg:0.1.0.5.0.0.72.0,,N,,mod,false
