type,id,label,occurrences,lat,lon
place,place:china,China,6,25.6998,-99.2346
place,place:pequini,Pequini,4,41.0461,19.7511
place,place:macao,Macao,1,22.2006,113.5461
place,place:sina,Sina,11,35.315,46.9988
place,place:hamburgum,Hamburgum,1,53.5507,9.993
place,place:asia,Asia,1,9.5506,122.5164
place,place:nanking,Nanking,14,32.0617,118.7778
place,place:peking,Peking,33,39.9075,116.3972
place,place:macaum,Macaum,1,22.2006,113.5461
place,place:honan,Honan,4,34.6735,112.4368
place,place:volga,Volga,1,57.9516,38.3879
place,place:formosa,Formosa,2,-26.1849,-58.1731
place,place:kienning,Kienning,1,27.0415,118.319
place,place:bruxellae,Bruxellae,1,50.8505,4.3488
place,place:arima,Arima,1,10.6374,-61.2823
place,place:omura,Omura,1,32.9214,129.9539
place,place:bungo,Bungo,3,-7.4396,15.3852
place,place:uto,Uto,2,32.6833,130.6667
place,place:corai,Corai,1,19.25,72.7833
