form,lang,count,per_thousand,stopword
a,it,4,44.444,yes
che,it,4,44.444,yes
di,it,3,33.333,yes
e,it,3,33.333,yes
il,it,3,33.333,yes
la,it,2,22.222,yes
abbreviazione,it,1,11.111,no
affanni,it,1,11.111,no
al,it,1,11.111,yes
alla,it,1,11.111,yes
anche,it,1,11.111,no
apparato,it,1,11.111,no
cercava,it,1,11.111,no
città,it,1,11.111,no
col,it,1,11.111,no
come,it,1,11.111,yes
compagni,it,1,11.111,no
con,it,1,11.111,yes
conobbe,it,1,11.111,no
cor,it,1,11.111,no
d,it,1,11.111,no
del,it,1,11.111,yes
delle,it,1,11.111,yes
dentro,it,1,11.111,no
dimmi,it,1,11.111,no
dimostrativo,it,1,11.111,no
errò,it,1,11.111,no
genti,it,1,11.111,no
gittate,it,1,11.111,no
ilïòn,it,1,11.111,no
in,it,1,11.111,yes
incerta,it,1,11.111,no
indol,it,1,11.111,no
ingegno,it,1,11.111,no
integrata,it,1,11.111,no
itaca,it,1,11.111,no
l,it,1,11.111,no
l'incipit,it,1,11.111,no
le,it,1,11.111,yes
lettura,it,1,11.111,no
lo,it,1,11.111,yes
mappa,it,1,11.111,no
mare,it,1,11.111,no
mentre,it,1,11.111,no
molte,it,1,11.111,no
molti,it,1,11.111,no
molto,it,1,11.111,no
mostra,it,1,11.111,no
multiforme,it,1,11.111,no
musa,it,1,11.111,no
nel,it,1,11.111,yes
nome,it,1,11.111,no
odisseo,it,1,11.111,no
parola,it,1,11.111,no
passo,it,1,11.111,no
poich'ebbe,it,1,11.111,no
prosa,it,1,11.111,no
punta,it,1,11.111,no
quell'uom,it,1,11.111,no
redimer,it,1,11.111,no
registro,it,1,11.111,no
ritorno,it,1,11.111,no
sacre,it,1,11.111,no
scioglimento,it,1,11.111,no
sé,it,1,11.111,no
signora,it,1,11.111,no
sofferse,it,1,11.111,no
sovr'esso,it,1,11.111,no
specimen,it,1,11.111,no
suo,it,1,11.111,no
terra,it,1,11.111,no
testo,it,1,11.111,no
torri,it,1,11.111,no
un,it,1,11.111,yes
una,it,1,11.111,yes
vide,it,1,11.111,no
vita,it,1,11.111,no
