position,doc,lang,form,lemma,anchor
0,doc0,it,L'incipit,,doc0:0.1.0.0.0
1,doc0,it,con,,doc0:0.1.0.0.0
2,doc0,it,apparato,,doc0:0.1.0.0.0
3,doc0,it,dimostrativo,,doc0:0.1.0.0.0
4,doc0,it,Musa,,doc0:0.1.0.0.1.0.0
5,doc0,it,quell'uom,,doc0:0.1.0.0.1.0
6,doc0,it,di,,doc0:0.1.0.0.1.0
7,doc0,it,multiforme,,doc0:0.1.0.0.1.0.1.0
8,doc0,it,ingegno,,doc0:0.1.0.0.1.0
9,doc0,it,dimmi,,doc0:0.1.0.0.1.1
10,doc0,it,che,,doc0:0.1.0.0.1.1
11,doc0,it,molto,,doc0:0.1.0.0.1.1
12,doc0,it,errò,,doc0:0.1.0.0.1.1
13,doc0,it,poich'ebbe,,doc0:0.1.0.0.1.1
14,doc0,it,a,,doc0:0.1.0.0.1.1
15,doc0,it,terra,,doc0:0.1.0.0.1.1
16,doc0,it,gittate,,doc0:0.1.0.0.1.2
17,doc0,it,d,,doc0:0.1.0.0.1.2
18,doc0,it,Ilïòn,,doc0:0.1.0.0.1.2.0
19,doc0,it,le,,doc0:0.1.0.0.1.2
20,doc0,it,sacre,,doc0:0.1.0.0.1.2
21,doc0,it,torri,,doc0:0.1.0.0.1.2
22,doc0,it,che,,doc0:0.1.0.0.1.3
23,doc0,it,città,,doc0:0.1.0.0.1.3
24,doc0,it,vide,,doc0:0.1.0.0.1.3
25,doc0,it,molte,,doc0:0.1.0.0.1.3
26,doc0,it,e,,doc0:0.1.0.0.1.3
27,doc0,it,delle,,doc0:0.1.0.0.1.3
28,doc0,it,genti,,doc0:0.1.0.0.1.3
29,doc0,it,l,,doc0:0.1.0.0.1.4
30,doc0,it,indol,,doc0:0.1.0.0.1.4.0.0
31,doc0,it,conobbe,,doc0:0.1.0.0.1.4
32,doc0,it,che,,doc0:0.1.0.0.1.4
33,doc0,it,sovr'esso,,doc0:0.1.0.0.1.4
34,doc0,it,il,,doc0:0.1.0.0.1.4
35,doc0,it,mare,,doc0:0.1.0.0.1.4
36,doc0,it,molti,,doc0:0.1.0.0.1.5
37,doc0,it,dentro,,doc0:0.1.0.0.1.5
38,doc0,it,del,,doc0:0.1.0.0.1.5
39,doc0,it,cor,,doc0:0.1.0.0.1.5
40,doc0,it,sofferse,,doc0:0.1.0.0.1.5
41,doc0,it,affanni,,doc0:0.1.0.0.1.5
42,doc0,it,mentre,,doc0:0.1.0.0.1.6
43,doc0,it,a,,doc0:0.1.0.0.1.6
44,doc0,it,redimer,,doc0:0.1.0.0.1.6.1
45,doc0,it,cercava,,doc0:0.1.0.0.1.6
46,doc0,it,a,,doc0:0.1.0.0.1.6
47,doc0,it,sé,,doc0:0.1.0.0.1.6
48,doc0,it,la,,doc0:0.1.0.0.1.6
49,doc0,it,vita,,doc0:0.1.0.0.1.6
50,doc0,it,e,,doc0:0.1.0.0.1.7
51,doc0,it,il,,doc0:0.1.0.0.1.7
52,doc0,it,ritorno,,doc0:0.1.0.0.1.7
53,doc0,it,a,,doc0:0.1.0.0.1.7
54,doc0,it,compagni,,doc0:0.1.0.0.1.7
55,doc0,it,Nel,,doc0:0.1.0.0.2
56,doc0,it,testo,,doc0:0.1.0.0.2
57,doc0,it,in,,doc0:0.1.0.0.2
58,doc0,it,prosa,,doc0:0.1.0.0.2
59,doc0,it,lo,,doc0:0.1.0.0.2
60,doc0,it,specimen,,doc0:0.1.0.0.2
61,doc0,it,mostra,,doc0:0.1.0.0.2
62,doc0,it,anche,,doc0:0.1.0.0.2
63,doc0,it,la,,doc0:0.1.0.0.2
64,doc0,it,signora,,doc0:0.1.0.0.2.0.1
65,doc0,it,abbreviazione,,doc0:0.1.0.0.2
66,doc0,it,col,,doc0:0.1.0.0.2
67,doc0,it,suo,,doc0:0.1.0.0.2
68,doc0,it,scioglimento,,doc0:0.1.0.0.2
69,doc0,it,un,,doc0:0.1.0.0.2
70,doc0,it,passo,,doc0:0.1.0.0.2
71,doc0,it,di,,doc0:0.1.0.0.2.1
72,doc0,it,lettura,,doc0:0.1.0.0.2.1
73,doc0,it,incerta,,doc0:0.1.0.0.2.1
74,doc0,it,una,,doc0:0.1.0.0.2
75,doc0,it,parola,,doc0:0.1.0.0.2
76,doc0,it,integrata,,doc0:0.1.0.0.2.2
77,doc0,it,e,,doc0:0.1.0.0.2
78,doc0,it,il,,doc0:0.1.0.0.2
79,doc0,it,nome,,doc0:0.1.0.0.2
80,doc0,it,di,,doc0:0.1.0.0.2
81,doc0,it,Odisseo,,doc0:0.1.0.0.2.3
82,doc0,it,che,,doc0:0.1.0.0.2
83,doc0,it,punta,,doc0:0.1.0.0.2
84,doc0,it,al,,doc0:0.1.0.0.2
85,doc0,it,registro,,doc0:0.1.0.0.2
86,doc0,it,come,,doc0:0.1.0.0.2
87,doc0,it,Itaca,,doc0:0.1.0.0.2.4
88,doc0,it,alla,,doc0:0.1.0.0.2
89,doc0,it,mappa,,doc0:0.1.0.0.2
